psfMag_r	fiberMag_r	fiber2Mag_r	petroMag_r	deVMag_r	expMag_r	modelMag_r	cModelMag_r	class
16.82734	16.74003	17.41238	14.70587	14.58149	14.98459	14.58149	14.58149	b'GALAXY'
18.62167	18.56076	19.16796	16.88936	17.77783	18.1156	17.77783	17.77783	b'GALAXY'
18.30411	18.11561	18.84099	16.33603	15.9615	16.37504	16.37504	16.25043	b'GALAXY'
21.01767	21.28137	21.75849	21.12055	20.95004	20.94928	20.95003	20.95002	b'STAR'
20.4085	20.70701	21.1633	20.46163	20.40718	20.40852	20.40851	20.40852	b'STAR'
18.95519	18.79029	19.50215	16.86709	16.41555	16.87417	16.87417	16.75787	b'GALAXY'
18.84861	18.82684	19.49143	17.63352	17.36493	17.69409	17.69409	17.54805	b'GALAXY'
15.99698	16.31502	16.78642	16.04849	15.99986	15.99973	15.99986	15.99986	b'STAR'
19.33561	19.1312	19.8677	17.70416	17.29711	17.68049	17.68048	17.68049	b'GALAXY'
19.65758	19.38985	20.12559	17.88145	17.33414	17.8162	17.8162	17.8162	b'GALAXY'
18.3947	18.16693	18.8956	16.42835	16.12569	16.44285	16.44287	16.39949	b'GALAXY'
18.6102	18.63958	19.24436	17.64865	17.55828	17.84326	17.55825	17.55878	b'GALAXY'
17.03732	16.96322	17.62759	14.58675	14.43253	14.82752	14.43253	14.45099	b'GALAXY'
18.0393	17.96868	18.62841	16.37076	16.15112	16.51495	16.15112	16.2511	b'GALAXY'
17.28979	17.32586	17.92396	16.36898	16.29244	16.50078	16.29243	16.29244	b'GALAXY'
17.99966	17.78929	18.52733	15.14677	14.78868	15.24353	15.24353	15.07907	b'GALAXY'
21.40216	20.4497	21.25899	21.26292	21.12027	21.12336	21.12334	21.12336	b'GALAXY'
19.96697	19.75833	20.51497	17.4473	16.64876	17.31521	17.31523	17.31521	b'GALAXY'
18.54641	18.62985	19.20609	17.78008	17.77043	18.00306	17.77043	17.77043	b'GALAXY'
18.33944	18.24278	18.9058	16.60424	16.57986	17.08427	16.57986	16.57986	b'GALAXY'
17.88404	17.77578	18.43797	15.97771	15.89538	16.3867	15.8954	15.89538	b'GALAXY'
